flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
,,,61856.0,,53.0,,0.0700030326843261,2.0,1.0,1.0,199.0,49.0,150.0,150.0,49.0,99.5,50.5,2550.25,150.0,49.0,99.5,50.5,0.0,150.0,49.0,99.5,50.5,0.0,16.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,49.0,150.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2842.733984074329,699.9696744705634,2142.764309603765,28.570190794716872,14.285095397358436,14.285095397358436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07000303,0.0,0.0700030326843261,0.0700030326843261,0.0700030326843261,1499343236.253296,0.0,1499343236.253296,1499343236.253296,1499343236.253296,1499343236.3232987,0.0,1499343236.323299,1499343236.323299,1499343236.323299,0.0,0.0,0.0,0.0,BENIGN
,,,54253.0,,53.0,,0.0318348407745361,4.0,2.0,2.0,364.0,76.0,288.0,144.0,38.0,91.0,53.0,2809.0,144.0,38.0,91.0,53.0,0.0,144.0,38.0,91.0,53.0,0.0,32.0,8.0,8.0,8.0,0.0,16.0,8.0,8.0,8.0,0.0,16.0,8.0,8.0,8.0,0.0,38.0,144.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11434.013525557011,2387.32150533608,9046.692020220931,125.64850028084628,62.82425014042314,62.82425014042314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01061161,0.01497035,0.0317828655242919,4.0531158447265625e-06,0.0318348407745361,4.792e-05,0.0,4.792213439941406e-05,4.792213439941406e-05,4.792213439941406e-05,4.05e-06,0.0,4.0531158447265625e-06,4.0531158447265625e-06,4.0531158447265625e-06,0.0,0.0,0.0,0.0,BENIGN
,,,61524.0,,53.0,,0.024580955505371,2.0,1.0,1.0,310.0,57.0,253.0,253.0,57.0,155.0,98.0,9604.0,253.0,57.0,155.0,98.0,0.0,253.0,57.0,155.0,98.0,0.0,16.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,57.0,253.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12611.389330746848,2318.868360814743,10292.520969932104,81.36380213385063,40.68190106692531,40.68190106692531,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02458096,0.0,0.024580955505371,0.024580955505371,0.024580955505371,1499342899.646517,0.0,1499342899.646517,1499342899.646517,1499342899.646517,1499342899.671098,0.0,1499342899.671098,1499342899.671098,1499342899.671098,0.0,0.0,0.0,0.0,BENIGN
,,,61202.0,,53.0,,0.0318970680236816,2.0,1.0,1.0,151.0,46.0,105.0,105.0,46.0,75.5,29.5,870.25,105.0,46.0,75.5,29.5,0.0,105.0,46.0,75.5,29.5,0.0,16.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,46.0,105.0,75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4733.977426636568,1442.1388187104778,3291.838607926091,62.70168777002078,31.35084388501039,31.35084388501039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03189707,0.0,0.0318970680236816,0.0318970680236816,0.0318970680236816,1499343150.6552887,0.0,1499343150.655289,1499343150.655289,1499343150.655289,1499343150.687186,0.0,1499343150.687186,1499343150.687186,1499343150.687186,0.0,0.0,0.0,0.0,BENIGN
,,,60133.0,,53.0,,0.0307722091674804,4.0,2.0,2.0,564.0,90.0,474.0,237.0,45.0,141.0,96.0,9216.0,237.0,45.0,141.0,96.0,0.0,237.0,45.0,141.0,96.0,0.0,32.0,8.0,8.0,8.0,0.0,16.0,8.0,8.0,8.0,0.0,16.0,8.0,8.0,8.0,0.0,45.0,237.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18328.225865435277,2924.7168934205224,15403.508972014752,129.98741748535656,64.99370874267828,64.99370874267828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102574,0.01450178,0.0307660102844238,3.0994415283203125e-06,0.0307722091674804,3.1e-06,0.0,3.0994415283203125e-06,3.0994415283203125e-06,3.0994415283203125e-06,3.1e-06,0.0,3.0994415283203125e-06,3.0994415283203125e-06,3.0994415283203125e-06,0.0,0.0,0.0,0.0,BENIGN
,,,60730.0,,53.0,,0.0700981616973877,2.0,1.0,1.0,267.0,48.0,219.0,219.0,48.0,133.5,85.5,7310.25,219.0,48.0,133.5,85.5,0.0,219.0,48.0,133.5,85.5,0.0,16.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,48.0,219.0,133.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3808.944393615248,684.7540482903817,3124.1903453248665,28.531418678765903,14.265709339382951,14.265709339382951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07009816,0.0,0.0700981616973877,0.0700981616973877,0.0700981616973877,1499343311.2052467,0.0,1499343311.205247,1499343311.205247,1499343311.205247,1499343311.275345,0.0,1499343311.275345,1499343311.275345,1499343311.275345,0.0,0.0,0.0,0.0,BENIGN
,,,62396.0,,53.0,,0.0308091640472412,2.0,1.0,1.0,132.0,52.0,80.0,80.0,52.0,66.0,14.0,196.0,80.0,52.0,66.0,14.0,0.0,80.0,52.0,66.0,14.0,0.0,16.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,52.0,80.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4284.439519280623,1687.809507595397,2596.6300116852262,64.91575029213065,32.45787514606533,32.45787514606533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03080916,0.0,0.0308091640472412,0.0308091640472412,0.0308091640472412,1499343170.9697447,0.0,1499343170.969745,1499343170.969745,1499343170.969745,1499343171.000554,0.0,1499343171.000554,1499343171.000554,1499343171.000554,0.0,0.0,0.0,0.0,BENIGN
,,,61885.0,,53.0,,0.0304598808288574,2.0,1.0,1.0,94.0,39.0,55.0,55.0,39.0,47.0,8.0,64.0,55.0,39.0,47.0,8.0,0.0,55.0,39.0,47.0,8.0,0.0,16.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,0.0,39.0,55.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3086.026518887272,1280.3727046447189,1805.653814242552,65.66013869972917,32.83006934986459,32.83006934986459,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03045988,0.0,0.0304598808288574,0.0304598808288574,0.0304598808288574,1499343024.187638,0.0,1499343024.187638,1499343024.187638,1499343024.187638,1499343024.218098,0.0,1499343024.218098,1499343024.218098,1499343024.218098,0.0,0.0,0.0,0.0,BENIGN
,,,56055.0,,53.0,,0.000180959701538,4.0,2.0,2.0,172.0,70.0,102.0,51.0,35.0,43.0,8.0,64.0,51.0,35.0,43.0,8.0,0.0,51.0,35.0,43.0,8.0,0.0,32.0,8.0,8.0,8.0,0.0,16.0,8.0,8.0,8.0,0.0,16.0,8.0,8.0,8.0,0.0,35.0,51.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950487.862977602,386826.4558629776,563661.4071146245,22104.368906455864,11052.184453227932,11052.184453227932,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.032e-05,1.753e-05,8.511543273925781e-05,4.792213439941406e-05,0.000180959701538,4.792e-05,0.0,4.792213439941406e-05,4.792213439941406e-05,4.792213439941406e-05,4.792e-05,0.0,4.792213439941406e-05,4.792213439941406e-05,4.792213439941406e-05,0.0,0.0,0.0,0.0,BENIGN
,,,50821.0,,53.0,,0.0001821517944335,4.0,2.0,2.0,212.0,90.0,122.0,61.0,45.0,53.0,8.0,64.0,61.0,45.0,53.0,8.0,0.0,61.0,45.0,53.0,8.0,0.0,32.0,8.0,8.0,8.0,0.0,16.0,8.0,8.0,8.0,0.0,16.0,8.0,8.0,8.0,0.0,45.0,61.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163864.4607329844,494093.40314136125,669771.057591623,21959.706806282724,10979.853403141362,10979.853403141362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.072e-05,1.709e-05,8.487701416015625e-05,4.8160552978515625e-05,0.0001821517944335,4.911e-05,0.0,4.911422729492188e-05,4.911422729492188e-05,4.911422729492188e-05,4.816e-05,0.0,4.8160552978515625e-05,4.8160552978515625e-05,4.8160552978515625e-05,0.0,0.0,0.0,0.0,BENIGN
